Ortsteil,Latitude,Longitude
Mitte,52.5176896,13.4023757
Moabit,52.5301017,13.3425422
Hansaviertel,52.5191234,13.3418725
Tiergarten,52.5097776,13.3572597
Wedding,52.550123,13.34197
Gesundbrunnen,52.5509201,13.384846
Friedrichshain,52.5122154,13.4502904
Kreuzberg,52.4976443,13.411914
Prenzlauer Berg,52.5398466,13.4285652
Weißensee,52.5546193,13.4630018
Blankenburg,52.593211,13.4541825
Heinersdorf,52.5728248,13.4370149
Karow,52.6150868,13.4862758
Stadtrandsiedlung Malchow,52.5710194,13.4632849
Pankow,52.597636699999995,13.436373975411648
Blankenfelde,52.6186272,13.3884468
Buch,52.6366724,13.4999292
Französisch Buchholz,52.6105131,13.4281104
Niederschönhausen,52.5858062,13.401397
Rosenthal,52.5983189,13.3755194
Wilhelmsruh,52.5880115,13.3622059
Charlottenburg,52.515747,13.3096834
Wilmersdorf,52.4871152,13.3203298
Schmargendorf,52.4789022,13.2929962
Grunewald,52.460482150000004,13.238698511429014
Westend,52.5133992,13.2558416
Charlottenburg-Nord,52.5405253,13.2962663
Halensee,52.4972262,13.2929986
Spandau,52.535788,13.1977924
Haselhorst,52.5413233,13.231156
Siemensstadt,52.5398082,13.2568934
Staaken,52.5322705,13.1433666
Gatow,52.4856409,13.1801341
Kladow,52.4602925,13.1400517
Hakenfelde,52.5609908,13.1967693
Falkenhagener Feld,52.5524034,13.1668941
Wilhelmstadt,52.5139207,13.1914518
Steglitz,52.4572569,13.3222865
Lichterfelde,52.437293,13.3138645
Lankwitz,52.4336977,13.3454858
Zehlendorf,52.4343217,13.2589298
Dahlem,52.4573805,13.2810976
Nikolassee,52.4262495,13.1981446
Wannsee,52.4211482,13.1589374
Schöneberg,52.482157,13.3551901
Friedenau,52.472075,13.3296424
Tempelhof,52.4632921,13.3864477
Mariendorf,52.44008,13.3900277
Marienfelde,52.4125766,13.3665916
Lichtenrade,52.3934559,13.4020397
Neukölln,52.4811497,13.4353501
Britz,52.4483324,13.4423401
Buckow,52.4186619,13.4289504
Rudow,52.4146801,13.4986183
Gropiusstadt,52.4249493,13.466183
Alt-Treptow,52.4925634,13.4598743
Plänterwald,52.4795439,13.4788076
Baumschulenweg,52.4616938,13.4815479
Johannisthal,52.4459114,13.504547
Niederschöneweide,52.4548197,13.5178766
Altglienicke,52.4118382,13.5426461
Adlershof,52.4378932,13.5475496
Bohnsdorf,52.4022426,13.5706649
Oberschöneweide,52.4624563,13.5234762
Köpenick,52.4539099,13.5764126
Friedrichshagen,52.4493804,13.6262724
Rahnsdorf,52.4358729,13.7018024
Grünau,52.4154272,13.5805633
Müggelheim,52.4121651,13.6619543
Schmöckwitz,52.3756651,13.6488551
Marzahn,52.5429481,13.563142
Biesdorf,52.5109922,13.5550131
Kaulsdorf,52.5101316,13.5809901
Mahlsdorf,52.5086995,13.6131624
Hellersdorf,52.5368537,13.6047745
Friedrichsfelde,52.5029358,13.5205456
Karlshorst,52.4837034,13.5233553
Lichtenberg,52.5321606,13.5118927
Falkenberg,52.5692998,13.5400296
Malchow,52.5798667,13.4820928
Wartenberg,52.5753945,13.5175821
Neu-Hohenschönhausen,52.5663309,13.514065
Alt-Hohenschönhausen,52.5504091,13.5025491
Fennpfuhl,52.5287849,13.4734687
Rummelsburg,52.5013696,13.4835143
Reinickendorf,52.6047631,13.2952872
Tegel,52.5873891,13.2790461
Konradshöhe,52.5856837,13.2231978
Heiligensee,52.6122549,13.2295789
Frohnau,52.6323917,13.2878663
Hermsdorf,52.6183341,13.3110313
Waidmannslust,52.60599315,13.321046069106227
Lübars,52.6146467,13.3530197
Wittenau,52.5912366,13.3233195
Märkisches Viertel,52.5993123,13.3565324
Borsigwalde,52.5840624,13.3022741
