Stadtteil,Latitude,Longitude
Allach,48.1959936,11.4570128
Altschwabing,48.1512855,11.572806
Altstadt,48.1371079,11.5753822
Am Hart,48.1959252,11.5718148
Am Moosfeld,48.1338665,11.6663093
Am Riesenfeld,48.1791699,11.5541431
Au,48.1287534,11.5861193
Aubing,48.1584371,11.4140662
Berg am Laim,48.1234833,11.6334511
Bogenhausen,48.1547823,11.6334838
Daglfing,48.1496375,11.6493051
Denning,48.1504019,11.6416432
Englschalking,48.1579231,11.6426305
Fasangarten,48.0919448,11.596473
Feldmoching,48.2138036,11.5412753
Forstenried,48.0848354,11.4944766
Freiham,48.1366708,11.4032274
Freimann,48.1919577,11.6142748
Fürstenried,48.0889107,11.4804702
Hadern,48.118064,11.4818417
Haidhausen,48.1326788,11.6032448
Harlaching,48.0882932,11.5650783
Hasenbergl,48.2134294,11.5549136
Holzapfelkreuth,48.116315,11.5018378
Isarvorstadt,48.1303398,11.5733658
Johanneskirchen,48.1692948,11.649074
Laim,48.1395506,11.5021658
Langwied,48.1813564,11.4222561
Lehel,48.1396562,11.5879211
Lochhausen,48.1801726,11.405779
Ludwigsvorstadt,48.1317712,11.5558087
Maxvorstadt,48.1510916,11.5624179
Milbertshofen,48.1809043,11.5731525
Mittersendling,48.1097457,11.5378216
Moosach,48.1798949,11.5105712
Neuhausen,48.1542217,11.5315172
Nord Schwabing,48.1842278,11.5921743
Nymphenburg,48.1571237,11.5097031
Oberföhring,48.1719489,11.6261939
Obergiesing,48.1111557,11.5889093
Obermenzing,48.16257,11.4693724
Obersendling,48.097802,11.5208073
Pasing,48.1477854,11.4607008
Perlach,48.1000997,11.6306502
Ramersdorf,48.1139165,11.6156989
Riem,48.1439688,11.6777725
Schwabing,48.1700887,11.5884858
Schwanthalerhöhe,48.1337822,11.5410566
Sendling,48.1180125,11.5390832
Solln,48.0765906,11.5180779
Steinhausen,48.1378093,11.6124016
Thalkirchen,48.1028401,11.5459789
Trudering,48.1260355,11.6633383
Untergiesing,48.1149632,11.5701894
Untermenzing,48.1768839,11.4760583
Untersendling,48.1216008,11.5408383
West Schwabing,48.1700887,11.5884858
Zamdorf,48.1416488,11.6386017
