Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Allach,48.1959936,11.457012800000001,Bäckerei Schuhmair,48.19717489464528,11.459015564985368,Bakery
Allach,48.1959936,11.457012800000001,Zur Allacher Mühle,48.19841133409175,11.457868837969725,Bavarian Restaurant
Allach,48.1959936,11.457012800000001,Gasthaus zur Schießstätte,48.19560074494681,11.456130122824106,Bavarian Restaurant
Allach,48.1959936,11.457012800000001,Würmtalhof,48.18883411061443,11.460680179970256,German Restaurant
Allach,48.1959936,11.457012800000001,Sport Bittl,48.191447076635825,11.466552989530065,Sporting Goods Shop
Allach,48.1959936,11.457012800000001,Westside Hotel,48.20104488531098,11.458564462023723,Hotel
Allach,48.1959936,11.457012800000001,Sicilia,48.193331,11.459387,Italian Restaurant
Allach,48.1959936,11.457012800000001,dm-drogerie markt,48.1941177124669,11.465639900656356,Drugstore
Allach,48.1959936,11.457012800000001,Rossmann,48.19330073453552,11.466388332819333,Drugstore
Allach,48.1959936,11.457012800000001,Lidl,48.1944275,11.4656116,Supermarket
Allach,48.1959936,11.457012800000001,Das Neue Tennis-Center-Allach e.K.,48.194746,11.456097,Tennis Court
Allach,48.1959936,11.457012800000001,Franz-Albert-Park,48.19121304405401,11.455887354851049,Park
Allach,48.1959936,11.457012800000001,ALDI SÜD,48.193043875507215,11.466344176398252,Supermarket
Allach,48.1959936,11.457012800000001,Vietnam Today - Euro Asia Mini Markt,48.18937287926855,11.463889884724614,Vietnamese Restaurant
Allach,48.1959936,11.457012800000001,Bäckerei,48.18979,11.466632,Bakery
Allach,48.1959936,11.457012800000001,H Allach Bahnhof,48.18970393885174,11.466611941031458,Bus Stop
Altschwabing,48.1512855,11.572806,Gegenüber,48.152607170668084,11.574288511751197,Café
Altschwabing,48.1512855,11.572806,Bagels & Muffins,48.1519358119813,11.573844777110887,Bagel Shop
Altschwabing,48.1512855,11.572806,FOX Bar,48.15157379179224,11.573571444161873,Bar
Altschwabing,48.1512855,11.572806,Boulangerie Dompierre,48.15047968073459,11.575198535322926,Bakery
Altschwabing,48.1512855,11.572806,The Victorian House Brown's Tea Bar,48.14994274145202,11.575785499141919,Tea Room
Altschwabing,48.1512855,11.572806,PicNic,48.149642082665466,11.572369824549304,Modern European Restaurant
Altschwabing,48.1512855,11.572806,Daddy Longlegs,48.14910964837787,11.572181260271464,Café
Altschwabing,48.1512855,11.572806,Ballabeni,48.14831238954939,11.574575340740491,Ice Cream Shop
Altschwabing,48.1512855,11.572806,Alter Simpl,48.15085905162649,11.576340320548328,German Restaurant
Altschwabing,48.1512855,11.572806,Harvest,48.151895203744864,11.57353589737608,Boutique
Altschwabing,48.1512855,11.572806,Kushi-Tei of Tokyo,48.1517431788183,11.570595612621698,Japanese Restaurant
Altschwabing,48.1512855,11.572806,ORANGE BOX,48.151111392766325,11.576557538871207,Restaurant
Altschwabing,48.1512855,11.572806,Gartensalon,48.1517790988081,11.577483650183003,Café
Altschwabing,48.1512855,11.572806,Gratitude Restaurant,48.150723,11.576171,Vegetarian / Vegan Restaurant
Altschwabing,48.1512855,11.572806,Lo Studente,48.150538,11.57563,Italian Restaurant
Altschwabing,48.1512855,11.572806,Pavesi Espressobar,48.15103988279759,11.57651768131909,Café
Altschwabing,48.1512855,11.572806,The Italian Shot,48.14811439351411,11.575081465101965,Italian Restaurant
Altschwabing,48.1512855,11.572806,Mary's Coffee Club,48.151751440483956,11.577777117483947,Breakfast Spot
Altschwabing,48.1512855,11.572806,Okra Gemüsekebap,48.150736718376685,11.574303498259363,Kebab Restaurant
Altschwabing,48.1512855,11.572806,Aloha Poke,48.151635887351844,11.57682380014784,Poke Place
Altschwabing,48.1512855,11.572806,James T. Hunt,48.150423961103584,11.575503086356683,Cocktail Bar
Altschwabing,48.1512855,11.572806,Konditorei Kaffee Schneller,48.14982910784462,11.578166351245983,Pastry Shop
Altschwabing,48.1512855,11.572806,Ciao Ragazzi,48.150207774294024,11.575955312381948,Pizza Place
Altschwabing,48.1512855,11.572806,Julius Brantner Brothandwerk,48.152348,11.577462,Bakery
Altschwabing,48.1512855,11.572806,Rooftop Bar TU München,48.148311,11.568174,Roof Deck
Altschwabing,48.1512855,11.572806,Donuts & Candies,48.15495483392071,11.575446474150139,Donut Shop
Altschwabing,48.1512855,11.572806,Pinakothek der Moderne,48.14710902914007,11.572229666976487,Art Museum
Altschwabing,48.1512855,11.572806,Gecobli - Gourmet Gelateria,48.149916605932,11.577352408883215,Ice Cream Shop
Altschwabing,48.1512855,11.572806,Vorhoelzer Forum,48.14833025949782,11.567714192451895,Event Space
Altschwabing,48.1512855,11.572806,Man Fat,48.15209387052896,11.57400228301589,Chinese Restaurant
Altschwabing,48.1512855,11.572806,Osteria Italiana,48.151427386202464,11.572119028409002,Trattoria/Osteria
Altschwabing,48.1512855,11.572806,Nudo,48.14946314294317,11.577926117575426,Italian Restaurant
Altschwabing,48.1512855,11.572806,Morso,48.15471984892339,11.575472438953218,Café
Altschwabing,48.1512855,11.572806,Alte Pinakothek,48.14823942183238,11.56992075827183,Art Museum
Altschwabing,48.1512855,11.572806,Stammbar,48.151174673365524,11.572708051045042,Pub
Altschwabing,48.1512855,11.572806,Burger House,48.148625474313285,11.573152363198574,Burger Joint
Altschwabing,48.1512855,11.572806,Le Refuge,48.154512898530065,11.573830084728002,French Restaurant
Altschwabing,48.1512855,11.572806,Limoni Ristorante,48.14872839168797,11.577455644121622,Italian Restaurant
Altschwabing,48.1512855,11.572806,benko,48.15312149644306,11.575697927701315,Mediterranean Restaurant
Altschwabing,48.1512855,11.572806,Enzo Pizza & Bar,48.1547115306858,11.575440555345217,Pizza Place
Altschwabing,48.1512855,11.572806,Theresa Restaurant,48.14783566353268,11.575313936177215,Steakhouse
Altschwabing,48.1512855,11.572806,Hans im Glück - Burgergrill,48.15225553667099,11.577014833746944,Burger Joint
Altschwabing,48.1512855,11.572806,Museum Brandhorst,48.148144,11.574162,Art Museum
Altschwabing,48.1512855,11.572806,Katopazzo & die Totem Bar,48.151512,11.578939,Bar
